Product_1,Product_Name,Year,Category,Age,Weight
106,ELECTRIC CLOTHES DRYERS WITHOUT WASHERS,2021,HOUSEHOLD APPLIANCES,44,481.00
107,GAS CLOTHES DRYERS WITHOUT WASHERS,2021,HOUSEHOLD APPLIANCES,3,34.00
110,ELECTRIC HEATING PADS,2021,HOUSEHOLD APPLIANCES,60,1842.00
112,SEWING MACHINES OR ACCESSORIES,2021,HOUSEHOLD APPLIANCES,53,2014.00
113,FLOOR BUFFERS OR WAXERS,2021,HOUSEHOLD APPLIANCES,51,486.00
114,RUG SHAMPOOERS,2021,HOUSEHOLD APPLIANCES,46.5,403.00
115,VACUUM CLEANERS,2021,HOUSEHOLD APPLIANCES,56,13488.00
116,ELECTRIC BROOMS,2021,HOUSEHOLD APPLIANCES,18.5,63.00
118,GAS WATER HEATERS,2021,HOUSEHOLD APPLIANCES,28,940.00
119,ELECTRIC WATER HEATERS,2021,HOUSEHOLD APPLIANCES,63,15.00
127,"CLOTHES DRYERS, NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,39,4053.00
131,"PROPANE, LP OR BUTANE GAS TANKS OR FITTINGS",2021,HOUSEHOLD APPLIANCES,41.5,3069.00
132,ELECTRIC BLANKETS OR SHEETS,2021,HOUSEHOLD APPLIANCES,73,499.00
133,OTHER WATER HEATERS,2021,HOUSEHOLD APPLIANCES,32.5,215.00
134,"WATER HEATERS, NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,51.5,1664.00
136,DRINKING FOUNTAINS,2021,HOUSEHOLD APPLIANCES,9.5,282.00
137,AUTOMATIC DOORS OR DOOR OPENERS,2021,HOUSEHOLD APPLIANCES,66,940.00
138,AUTOMATIC GARAGE DOORS OR DOOR OPENERS,2021,HOUSEHOLD APPLIANCES,52,1678.00
139,INCINERATORS,2021,HOUSEHOLD APPLIANCES,50,17.00
140,"WASHING MACHINES, OTHER OR NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,46,8394.00
212,ELECTRIC CORN POPPERS,2021,HOUSEHOLD APPLIANCES,5,17.00
213,ELECTRIC CAN OPENERS,2021,HOUSEHOLD APPLIANCES,30,121.00
214,DISHWASHERS,2021,HOUSEHOLD APPLIANCES,62,6945.00
215,ELECTRIC BLENDERS,2021,HOUSEHOLD APPLIANCES,32,6691.00
216,"ELECTRIC COUNTER-TOP OVENS, BROILERS OR TOASTER OVENS",2021,HOUSEHOLD APPLIANCES,39,279.00
217,ELECTRIC COFFEE MAKERS OR TEAPOTS,2021,HOUSEHOLD APPLIANCES,9,450.00
218,ELECTRIC OR BATTERY-POWERED KNIVES,2021,HOUSEHOLD APPLIANCES,28.5,165.00
219,ELECTRIC DEEP FRYERS,2021,HOUSEHOLD APPLIANCES,26,533.00
221,FOOD WARMERS,2021,HOUSEHOLD APPLIANCES,41,292.00
222,ELECTRIC FRYING PANS AND SKILLETS,2021,HOUSEHOLD APPLIANCES,35,931.00
223,ELECTRIC GRIDDLES,2021,HOUSEHOLD APPLIANCES,3,364.00
224,HOT PLATES,2021,HOUSEHOLD APPLIANCES,30,411.00
227,ICE MAKERS (SEPARATE FROM REFRIGERATORS),2021,HOUSEHOLD APPLIANCES,45.5,196.00
231,ELECTRIC MIXERS,2021,HOUSEHOLD APPLIANCES,33,584.00
232,ELECTRIC SCISSORS,2021,HOUSEHOLD APPLIANCES,48,85.00
234,TOASTERS,2021,HOUSEHOLD APPLIANCES,20,927.00
235,ELECTRIC WAFFLE IRONS,2021,HOUSEHOLD APPLIANCES,6,6.00
236,FAUCET WATER HEATERS,2021,HOUSEHOLD APPLIANCES,59,74.00
237,GARBAGE DISPOSERS,2021,HOUSEHOLD APPLIANCES,39,433.00
240,ELECTRIC KNIFE SHARPENERS,2021,HOUSEHOLD APPLIANCES,65,69.00
252,TRASH COMPACTORS,2021,HOUSEHOLD APPLIANCES,33.5,67.00
255,CLOTHES STEAMERS,2021,HOUSEHOLD APPLIANCES,22.5,368.00
263,FREEZERS (SEPARATE FROM REFRIGERATORS),2021,HOUSEHOLD APPLIANCES,41.5,5448.00
264,MICROWAVE OVENS,2021,HOUSEHOLD APPLIANCES,16.5,7804.00
268,SLOW COOKERS,2021,HOUSEHOLD APPLIANCES,37,1916.00
269,ELECTRIC KETTLES OR HOT POTS,2021,HOUSEHOLD APPLIANCES,34.5,222.00
270,ICE CRUSHERS,2021,HOUSEHOLD APPLIANCES,10,16.00
271,JUICERS,2021,HOUSEHOLD APPLIANCES,12,131.00
274,ICE CREAM MAKERS,2021,HOUSEHOLD APPLIANCES,12,5.00
275,FOOD PROCESSORS,2021,HOUSEHOLD APPLIANCES,45,2277.00
276,REFRIGERATORS,2021,HOUSEHOLD APPLIANCES,45,31877.00
277,CLOTHING IRONS,2021,HOUSEHOLD APPLIANCES,3,2216.00
278,ELECTRIC RANGES OR OVENS (EXCL COUNTER-TOP OVENS),2021,HOUSEHOLD APPLIANCES,33,2740.00
279,GAS RANGES OR OVENS,2021,HOUSEHOLD APPLIANCES,42,2837.00
280,OTHER RANGES OR OVENS,2021,HOUSEHOLD APPLIANCES,29,749.00
281,"RANGES OR OVENS, NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,36,20681.00
304,HUMIDIFIERS,2021,HOUSEHOLD APPLIANCES,18,652.00
305,VAPORIZERS,2021,HOUSEHOLD APPLIANCES,2,80.00
306,DEHUMIDIFIERS,2021,HOUSEHOLD APPLIANCES,75.5,170.00
307,AIR PURIFIERS,2021,HOUSEHOLD APPLIANCES,42,102.00
308,BOILERS,2021,HOUSEHOLD APPLIANCES,54,636.00
309,COAL FURNACES,2021,HOUSEHOLD APPLIANCES,59,16.00
310,GAS FURNACES,2021,HOUSEHOLD APPLIANCES,50,696.00
312,ELECTRIC BASEBOARD HEATERS,2021,HOUSEHOLD APPLIANCES,8.5,335.00
316,"WOOD BURNING FIREPLACES, FACTORY BUILT",2021,HOUSEHOLD APPLIANCES,47.5,169.00
322,"FURNACES, OTHER OR NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,26,1114.00
334,"GAS-BURNING FIREPLACES, FACTORY BUILT",2021,HOUSEHOLD APPLIANCES,3,343.00
336,BUILT-IN FIREPLACES,2021,HOUSEHOLD APPLIANCES,3,1750.00
340,THERMOSTATS (FOR HEATING OR COOLING SYSTEMS),2021,HOUSEHOLD APPLIANCES,61,340.00
342,"FIREPLACES, NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,4,8244.00
346,"ELECTRIC FIREPLACES, FACTORY BUILT",2021,HOUSEHOLD APPLIANCES,7,5.00
348,PORTABLE ELECTRIC HEATERS,2021,HOUSEHOLD APPLIANCES,49,1360.00
365,HEAT PUMPS,2021,HOUSEHOLD APPLIANCES,37,211.00
367,COAL OR WOOD-BURNING STOVES,2021,HOUSEHOLD APPLIANCES,36,3033.00
371,DUCTWORK FOR HEATING OR COOLING SYSTEMS,2021,HOUSEHOLD APPLIANCES,15,3217.00
372,"BRICK, STONE OR MASONRY CHIMNEYS",2021,HOUSEHOLD APPLIANCES,37.5,491.00
373,"METAL CHIMNEYS, STOVEPIPES OR FLUES",2021,HOUSEHOLD APPLIANCES,74,74.00
374,PIPES (EXCLUDING SMOKING PIPES),2021,HOUSEHOLD APPLIANCES,34,17165.00
378,"CHIMNEYS, NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,28.5,423.00
379,RADIATORS (EXCLUDING VEHICLE RADIATORS),2021,HOUSEHOLD APPLIANCES,21,5171.00
380,FANS,2021,HOUSEHOLD APPLIANCES,34,11896.00
381,AIR CONDITIONERS,2021,HOUSEHOLD APPLIANCES,41.5,10429.00
388,"ELECTRIC HEATERS, NOT ELSEWHERE CLASSIFIED",2021,HOUSEHOLD APPLIANCES,40,399.00
390,"HEAT TAPES, ELECTRIC",2021,HOUSEHOLD APPLIANCES,25,74.00
391,PORTABLE GAS OR LP HEATERS,2021,HOUSEHOLD APPLIANCES,32,417.00
392,"GAS OR LP HEATERS, OTHER OR NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,38.5,688.00
393,"HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,35,4550.00
